Volume fraction,Processing method,Composite Young's modulus,Composite Yield Strength,Composite fracture stress,Composite fracture strain,Fatigue strength coefficient,Fatigue ductility coefficient  ,Cyclic strength coefficient,Cyclic strain hardening exponent,Load,Fatigue life
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1950,810
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1940,922
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1930,1023
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1920,1279
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1910,1472
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1900,1517
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1890,1671
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1880,1786
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1870,1817
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1860,2117
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1850,2161.7
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1840,2182
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1830,2265
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1820,2360
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1810,2474
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1800,2551
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1790,2603
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1780,2766
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1770,2821
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1760,3008
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1750,3220
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1740,3268
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1730,3381.8
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1720,3430
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1710,3682
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1700,3834
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1690,3965
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1680,4110
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1670,4223
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1660,4375
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1650,4568
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1640,4793
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1630,5064
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1620,5269
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1610,5533
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1600,5706
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1590,5886
